model_short,num_agents,stag_success_threshold,n_runs,liar_counts,round_counts,n_seeds,n_unique_config_seed_cells
deepseek-v3.2-think,2,1,6,"0,1","1,2,4",6,6
deepseek-v3.2-think,2,2,6,"0,1","1,2,4",6,6
deepseek-v3.2-think,3,1,8,"1,2","1,2,4",6,6
deepseek-v3.2-think,3,2,6,"1,2","1,2,4",6,6
deepseek-v3.2-think,3,3,6,"1,2","1,2,4",6,6
deepseek-v3.2-think,5,1,20,"1,2,3,4","1,2,4",12,12
deepseek-v3.2-think,5,2,14,"1,2,3,4","1,2,4",12,12
deepseek-v3.2-think,5,3,16,"1,2,3,4","1,2,4",12,12
deepseek-v3.2-think,5,4,16,"1,2,3,4","1,2,4",12,12
ernie-5.0-thinking-preview,2,1,6,"0,1","1,2,4",6,6
ernie-5.0-thinking-preview,2,2,6,"0,1","1,2,4",6,6
ernie-5.0-thinking-preview,3,1,8,"1,2","1,2,4",6,6
ernie-5.0-thinking-preview,3,2,9,"1,2","1,2,4",7,7
ernie-5.0-thinking-preview,3,3,6,"1,2","1,2,4",6,6
ernie-5.0-thinking-preview,4,4,1,1,2,1,1
ernie-5.0-thinking-preview,5,1,20,"1,2,3,4","1,2,4",12,12
ernie-5.0-thinking-preview,5,2,14,"1,2,3,4","1,2,4",12,12
ernie-5.0-thinking-preview,5,3,16,"1,2,3,4","1,2,4",12,12
ernie-5.0-thinking-preview,5,4,16,"1,2,3,4","1,2,4",12,12
glm-5,2,1,6,"0,1","1,2,4",6,6
glm-5,2,2,6,"0,1","1,2,4",6,6
glm-5,3,1,8,"1,2","1,2,4",6,6
glm-5,3,2,6,"1,2","1,2,4",6,6
glm-5,3,3,6,"1,2","1,2,4",6,6
glm-5,5,1,20,"1,2,3,4","1,2,4",12,12
glm-5,5,2,14,"1,2,3,4","1,2,4",12,12
glm-5,5,3,16,"1,2,3,4","1,2,4",12,12
glm-5,5,4,16,"1,2,3,4","1,2,4",12,12
gpt-5-mini,2,1,8,"0,1","1,2,4",6,6
gpt-5-mini,2,2,6,"0,1","1,2,4",6,6
gpt-5-mini,3,1,8,"1,2","1,2,4",6,6
gpt-5-mini,3,2,8,"1,2","1,2,4",6,6
gpt-5-mini,3,3,6,"1,2","1,2,4",6,6
gpt-5-mini,5,1,16,"1,2,3,4","1,2,4",12,12
gpt-5-mini,5,2,18,"1,2,3,4","1,2,4",12,12
gpt-5-mini,5,3,14,"1,2,3,4","1,2,4",12,12
gpt-5-mini,5,4,12,"1,2,3,4","1,2,4",12,12
gpt-5.2-2025-12-11,2,1,10,"0,1","1,2,4",6,6
gpt-5.2-2025-12-11,2,2,12,"0,1","1,2,4",6,6
gpt-5.2-2025-12-11,3,1,12,"1,2","1,2,4",6,6
gpt-5.2-2025-12-11,3,2,10,"1,2","1,2,4",6,6
gpt-5.2-2025-12-11,3,3,10,"1,2","1,2,4",6,6
gpt-5.2-2025-12-11,5,1,18,"1,2,3,4","1,2,4",12,12
gpt-5.2-2025-12-11,5,2,18,"1,2,3,4","1,2,4",12,12
gpt-5.2-2025-12-11,5,3,16,"1,2,3,4","1,2,4",12,12
gpt-5.2-2025-12-11,5,4,12,"1,2,3,4","1,2,4",12,12
kimi-k2.5,2,1,6,"0,1","1,2,4",6,6
kimi-k2.5,2,2,6,"0,1","1,2,4",6,6
kimi-k2.5,3,1,8,"1,2","1,2,4",6,6
kimi-k2.5,3,2,6,"1,2","1,2,4",6,6
kimi-k2.5,3,3,6,"1,2","1,2,4",6,6
kimi-k2.5,5,1,20,"1,2,3,4","1,2,4",12,12
kimi-k2.5,5,2,14,"1,2,3,4","1,2,4",12,12
kimi-k2.5,5,3,16,"1,2,3,4","1,2,4",12,12
kimi-k2.5,5,4,16,"1,2,3,4","1,2,4",12,12
llama-3.1-8b,2,1,10,"0,1","1,2,4",6,6
llama-3.1-8b,2,2,6,"0,1","1,2,4",6,6
llama-3.1-8b,3,1,10,"1,2","1,2,4",6,6
llama-3.1-8b,3,2,12,"1,2","1,2,4",6,6
llama-3.1-8b,3,3,10,"1,2","1,2,4",6,6
llama-3.1-8b,5,1,20,"1,2,3,4","1,2,4",12,12
llama-3.1-8b,5,2,18,"1,2,3,4","1,2,4",12,12
llama-3.1-8b,5,3,18,"1,2,3,4","1,2,4",12,12
llama-3.1-8b,5,4,16,"1,2,3,4","1,2,4",12,12
