model_short,liar_share,honest_original_stag_rate,intended_success,public_success,flip_induced_loss,n_cells,honest_original_stag_rate_low,honest_original_stag_rate_high,intended_success_low,intended_success_high,public_success_low,public_success_high,flip_induced_loss_low,flip_induced_loss_high
deepseek-v3.2-think,0.2,1.0,1.0,1.0,0.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
deepseek-v3.2-think,0.4,0.75,0.75,0.75,0.0,3,0.25,1.0,0.25,1.0,0.25,1.0,0.0,0.0
deepseek-v3.2-think,0.6,0.7083333333333334,0.9166666666666666,0.3333333333333333,0.6666666666666666,3,0.5,1.0,0.75,1.0,0.0,0.5,0.5,1.0
deepseek-v3.2-think,0.8,0.3055555555555556,0.638888888888889,0.0,0.638888888888889,3,0.0,0.5,0.4166666666666667,1.0,0.0,0.0,0.4166666666666667,1.0
ernie-5.0-thinking-preview,0.2,0.8958333333333334,0.9166666666666666,0.9166666666666666,0.0,3,0.6875,1.0,0.75,1.0,0.75,1.0,0.0,0.0
ernie-5.0-thinking-preview,0.4,1.0,1.0,1.0,0.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
ernie-5.0-thinking-preview,0.6,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.5833333333333334,3,0.5,1.0,0.5,1.0,0.0,0.5,0.25,1.0
ernie-5.0-thinking-preview,0.8,0.4166666666666667,0.75,0.027777777777777776,0.7222222222222222,3,0.0,0.75,0.5,1.0,0.0,0.08333333333333333,0.5,1.0
glm-5,0.2,1.0,1.0,1.0,0.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
glm-5,0.4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,3,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.0
glm-5,0.6,0.5416666666666666,0.8333333333333334,0.08333333333333333,0.8333333333333334,3,0.375,0.75,0.5,1.0,0.0,0.25,0.5,1.0
glm-5,0.8,0.47222222222222227,0.8333333333333334,0.0,0.8333333333333334,3,0.0,1.0,0.5,1.0,0.0,0.0,0.5,1.0
gpt-5-mini,0.2,1.0,1.0,1.0,0.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
gpt-5-mini,0.4,0.6851851851851851,0.6666666666666666,0.6944444444444445,0.0,3,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.0
gpt-5-mini,0.6,0.6666666666666666,0.8333333333333334,0.5,0.3333333333333333,3,0.5,1.0,0.5,1.0,0.0,1.0,0.0,1.0
gpt-5-mini,0.8,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,3,0.5,1.0,0.5,1.0,0.0,1.0,0.0,0.5
gpt-5.2-2025-12-11,0.2,1.0,1.0,1.0,0.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
gpt-5.2-2025-12-11,0.4,1.0,1.0,1.0,0.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
gpt-5.2-2025-12-11,0.6,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,3,0.0,0.75,0.0,1.0,0.0,0.5,0.0,0.5
gpt-5.2-2025-12-11,0.8,0.5277777777777778,0.7777777777777778,0.1388888888888889,0.638888888888889,3,0.0,1.0,0.5,1.0,0.0,0.4166666666666667,0.4166666666666667,1.0
kimi-k2.5,0.2,1.0,1.0,1.0,0.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
kimi-k2.5,0.4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,3,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.0
kimi-k2.5,0.6,0.75,1.0,0.16666666666666666,0.8333333333333334,3,0.5,0.9166666666666666,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,1.0
kimi-k2.5,0.8,0.47222222222222215,0.7777777777777778,0.027777777777777776,0.7777777777777778,3,0.3333333333333333,0.5833333333333334,0.6083333333333335,1.0,0.0,0.08333333333333333,0.6083333333333335,1.0
llama-3.1-8b,0.2,0.8472222222222222,0.8888888888888888,0.8888888888888888,0.0,3,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.0,0.0
llama-3.1-8b,0.4,0.75,1.0,0.4166666666666667,0.5833333333333334,3,0.6666666666666666,0.8333333333333334,1.0,1.0,0.0,0.75,0.25,1.0
llama-3.1-8b,0.6,0.6805555555555555,0.8055555555555557,0.1111111111111111,0.6944444444444445,3,0.375,1.0,0.5833333333333334,1.0,0.0,0.16666666666666666,0.4166666666666667,1.0
llama-3.1-8b,0.8,0.75,1.0,0.3333333333333333,0.6666666666666666,3,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0
