model_short,benchmark_rule,public_history_margin_mid,original_is_stag,n_cells,original_is_stag_low,original_is_stag_high
deepseek-v3.2-think,Carryover,-0.5,0.0,3,0.0,0.0
deepseek-v3.2-think,Carryover,-0.4,0.0,7,0.0,0.0
deepseek-v3.2-think,Carryover,-0.3,0.21428571428571427,7,0.0,0.5714285714285714
deepseek-v3.2-think,Carryover,-0.2,0.25555555555555554,10,0.05,0.4666666666666666
deepseek-v3.2-think,Carryover,-0.1,0.6842105263157895,19,0.4910087719298245,0.8598684210526313
deepseek-v3.2-think,Carryover,0.0,0.7986111111111112,24,0.6803819444444443,0.9027777777777777
deepseek-v3.2-think,Carryover,0.1,0.868421052631579,19,0.7105263157894737,1.0
deepseek-v3.2-think,Carryover,0.2,0.9782608695652174,23,0.9347826086956522,1.0
deepseek-v3.2-think,Carryover,0.3,1.0,27,1.0,1.0
deepseek-v3.2-think,Carryover,0.4,1.0,10,1.0,1.0
deepseek-v3.2-think,Carryover,0.5,1.0,21,1.0,1.0
deepseek-v3.2-think,Carryover,0.6000000000000001,1.0,8,1.0,1.0
deepseek-v3.2-think,Carryover,0.7,1.0,8,1.0,1.0
deepseek-v3.2-think,Carryover,0.8,1.0,4,1.0,1.0
deepseek-v3.2-think,Naive aggregate,-0.7005,0.0,6,0.0,0.0
deepseek-v3.2-think,Naive aggregate,-0.6000000000000001,0.3,5,0.0,0.7
deepseek-v3.2-think,Naive aggregate,-0.4,0.7261904761904762,7,0.4642857142857143,0.9523809523809524
deepseek-v3.2-think,Naive aggregate,-0.3,0.375,8,0.125,0.75
deepseek-v3.2-think,Naive aggregate,-0.2,0.6428571428571429,7,0.2857142857142857,0.9285714285714286
deepseek-v3.2-think,Naive aggregate,-0.1,0.5277777777777778,12,0.27777777777777773,0.7916666666666666
deepseek-v3.2-think,Naive aggregate,0.0,1.0,12,1.0,1.0
deepseek-v3.2-think,Naive aggregate,0.1,0.9230769230769231,13,0.8076923076923077,1.0
deepseek-v3.2-think,Naive aggregate,0.2,1.0,5,1.0,1.0
deepseek-v3.2-think,Naive aggregate,0.3,1.0,17,1.0,1.0
deepseek-v3.2-think,Naive aggregate,0.4,1.0,6,1.0,1.0
deepseek-v3.2-think,Naive aggregate,0.5,1.0,13,1.0,1.0
deepseek-v3.2-think,Naive aggregate,0.6000000000000001,1.0,6,1.0,1.0
deepseek-v3.2-think,Naive aggregate,0.8,1.0,5,1.0,1.0
deepseek-v3.2-think,Naive aggregate,1.0,1.0,6,1.0,1.0
deepseek-v3.2-think,Trust-weighted,-0.5,0.0,3,0.0,0.0
deepseek-v3.2-think,Trust-weighted,-0.4,0.0,7,0.0,0.0
deepseek-v3.2-think,Trust-weighted,-0.3,0.25,8,0.0,0.625
deepseek-v3.2-think,Trust-weighted,-0.2,0.25555555555555554,10,0.05555555555555556,0.4612499999999998
deepseek-v3.2-think,Trust-weighted,-0.1,0.6331168831168831,21,0.4447059884559885,0.7922979797979796
deepseek-v3.2-think,Trust-weighted,0.0,0.8333333333333334,23,0.7027173913043477,0.9347826086956522
deepseek-v3.2-think,Trust-weighted,0.1,0.8421052631578947,19,0.6842105263157895,1.0
deepseek-v3.2-think,Trust-weighted,0.2,0.9855072463768116,23,0.9565217391304348,1.0
deepseek-v3.2-think,Trust-weighted,0.3,1.0,30,1.0,1.0
deepseek-v3.2-think,Trust-weighted,0.4,1.0,17,1.0,1.0
deepseek-v3.2-think,Trust-weighted,0.5,1.0,23,1.0,1.0
deepseek-v3.2-think,Trust-weighted,0.6000000000000001,1.0,14,1.0,1.0
deepseek-v3.2-think,Trust-weighted,0.7,1.0,9,1.0,1.0
deepseek-v3.2-think,Trust-weighted,0.8,1.0,5,1.0,1.0
ernie-5.0-thinking-preview,Carryover,-0.4,0.0,6,0.0,0.0
ernie-5.0-thinking-preview,Carryover,-0.3,0.3541666666666667,8,0.08333333333333333,0.6875
ernie-5.0-thinking-preview,Carryover,-0.2,0.3333333333333333,11,0.09090909090909091,0.5909090909090909
ernie-5.0-thinking-preview,Carryover,-0.1,0.6631944444444444,24,0.5138888888888888,0.8125
ernie-5.0-thinking-preview,Carryover,0.0,0.7339285714285715,28,0.5892857142857143,0.8679017857142857
ernie-5.0-thinking-preview,Carryover,0.1,0.8881578947368421,19,0.7631578947368421,0.993421052631579
ernie-5.0-thinking-preview,Carryover,0.2,1.0,25,1.0,1.0
ernie-5.0-thinking-preview,Carryover,0.3,0.993103448275862,29,0.9724137931034483,1.0
ernie-5.0-thinking-preview,Carryover,0.4,1.0,13,1.0,1.0
ernie-5.0-thinking-preview,Carryover,0.5,1.0,22,1.0,1.0
ernie-5.0-thinking-preview,Carryover,0.6000000000000001,1.0,8,1.0,1.0
ernie-5.0-thinking-preview,Carryover,0.7,1.0,8,1.0,1.0
ernie-5.0-thinking-preview,Carryover,0.8,1.0,4,1.0,1.0
ernie-5.0-thinking-preview,Naive aggregate,-0.7005,0.0,5,0.0,0.0
ernie-5.0-thinking-preview,Naive aggregate,-0.6000000000000001,0.55,5,0.24875000000000008,0.9
ernie-5.0-thinking-preview,Naive aggregate,-0.4,0.7291666666666666,8,0.45781249999999996,0.9375
ernie-5.0-thinking-preview,Naive aggregate,-0.3,0.16666666666666666,9,0.0,0.3888888888888889
ernie-5.0-thinking-preview,Naive aggregate,-0.2,0.8571428571428571,7,0.5714285714285714,1.0
ernie-5.0-thinking-preview,Naive aggregate,-0.1,0.5595238095238095,14,0.3449404761904762,0.7857142857142857
ernie-5.0-thinking-preview,Naive aggregate,0.0,0.9880952380952381,12,0.9642857142857143,1.0
ernie-5.0-thinking-preview,Naive aggregate,0.1,0.8926470588235295,17,0.7647058823529411,0.9882352941176471
ernie-5.0-thinking-preview,Naive aggregate,0.2,1.0,4,1.0,1.0
ernie-5.0-thinking-preview,Naive aggregate,0.3,1.0,19,1.0,1.0
ernie-5.0-thinking-preview,Naive aggregate,0.4,0.9642857142857143,7,0.8928571428571429,1.0
ernie-5.0-thinking-preview,Naive aggregate,0.5,1.0,14,1.0,1.0
ernie-5.0-thinking-preview,Naive aggregate,0.6000000000000001,1.0,6,1.0,1.0
ernie-5.0-thinking-preview,Naive aggregate,0.8,1.0,6,1.0,1.0
ernie-5.0-thinking-preview,Naive aggregate,1.0,1.0,6,1.0,1.0
ernie-5.0-thinking-preview,Trust-weighted,-0.4,0.0,4,0.0,0.0
ernie-5.0-thinking-preview,Trust-weighted,-0.3,0.37037037037037035,9,0.07407407407407407,0.6666666666666666
ernie-5.0-thinking-preview,Trust-weighted,-0.2,0.4,10,0.15,0.65
ernie-5.0-thinking-preview,Trust-weighted,-0.1,0.6424242424242423,25,0.4805454545454546,0.7958636363636363
ernie-5.0-thinking-preview,Trust-weighted,0.0,0.7564102564102565,26,0.6153846153846154,0.8782051282051282
ernie-5.0-thinking-preview,Trust-weighted,0.1,0.8233333333333333,20,0.65,0.9566666666666667
ernie-5.0-thinking-preview,Trust-weighted,0.2,1.0,25,1.0,1.0
ernie-5.0-thinking-preview,Trust-weighted,0.3,0.9919354838709677,31,0.9758064516129032,1.0
ernie-5.0-thinking-preview,Trust-weighted,0.4,1.0,18,1.0,1.0
ernie-5.0-thinking-preview,Trust-weighted,0.5,1.0,24,1.0,1.0
ernie-5.0-thinking-preview,Trust-weighted,0.6000000000000001,1.0,14,1.0,1.0
ernie-5.0-thinking-preview,Trust-weighted,0.7,1.0,9,1.0,1.0
ernie-5.0-thinking-preview,Trust-weighted,0.8,1.0,5,1.0,1.0
glm-5,Carryover,-0.4,0.07142857142857142,7,0.0,0.21428571428571427
glm-5,Carryover,-0.3,0.42857142857142855,7,0.14285714285714285,0.8571428571428571
glm-5,Carryover,-0.2,0.446969696969697,11,0.21212121212121213,0.75
glm-5,Carryover,-0.1,0.6834848484848485,20,0.5168181818181818,0.8267954545454543
glm-5,Carryover,0.0,0.8181818181818182,22,0.6818181818181818,0.9545454545454546
glm-5,Carryover,0.1,0.9095238095238096,21,0.7952380952380952,1.0
glm-5,Carryover,0.2,1.0,21,1.0,1.0
glm-5,Carryover,0.3,1.0,26,1.0,1.0
glm-5,Carryover,0.4,1.0,10,1.0,1.0
glm-5,Carryover,0.5,1.0,21,1.0,1.0
glm-5,Carryover,0.6000000000000001,1.0,8,1.0,1.0
glm-5,Carryover,0.7,1.0,8,1.0,1.0
glm-5,Carryover,0.8,1.0,4,1.0,1.0
glm-5,Naive aggregate,-0.7005,0.0,5,0.0,0.0
glm-5,Naive aggregate,-0.6000000000000001,0.5333333333333333,6,0.16666666666666666,0.8666666666666667
glm-5,Naive aggregate,-0.4,0.6479591836734694,7,0.40306122448979587,0.8979591836734694
glm-5,Naive aggregate,-0.3,0.2777777777777778,9,0.054166666666666745,0.5555555555555556
glm-5,Naive aggregate,-0.2,0.7857142857142857,7,0.5,1.0
glm-5,Naive aggregate,-0.1,0.6880952380952381,14,0.4831547619047619,0.8809523809523808
glm-5,Naive aggregate,0.0,1.0,12,1.0,1.0
glm-5,Naive aggregate,0.1,0.9714285714285714,14,0.9142857142857143,1.0
glm-5,Naive aggregate,0.2,1.0,5,1.0,1.0
glm-5,Naive aggregate,0.3,1.0,15,1.0,1.0
glm-5,Naive aggregate,0.4,1.0,5,1.0,1.0
glm-5,Naive aggregate,0.5,1.0,13,1.0,1.0
glm-5,Naive aggregate,0.6000000000000001,1.0,4,1.0,1.0
glm-5,Naive aggregate,0.8,1.0,5,1.0,1.0
glm-5,Naive aggregate,1.0,1.0,6,1.0,1.0
glm-5,Trust-weighted,-0.4,0.08333333333333333,6,0.0,0.25
glm-5,Trust-weighted,-0.3,0.3333333333333333,9,0.0,0.6666666666666666
glm-5,Trust-weighted,-0.2,0.3229166666666667,8,0.11432291666666666,0.5729166666666666
glm-5,Trust-weighted,-0.1,0.7285714285714286,21,0.5855952380952381,0.8666666666666666
glm-5,Trust-weighted,0.0,0.8106060606060606,22,0.6590909090909091,0.9320075757575755
glm-5,Trust-weighted,0.1,0.8809523809523809,21,0.7380952380952381,1.0
glm-5,Trust-weighted,0.2,1.0,20,1.0,1.0
glm-5,Trust-weighted,0.3,1.0,29,1.0,1.0
glm-5,Trust-weighted,0.4,1.0,17,1.0,1.0
glm-5,Trust-weighted,0.5,1.0,23,1.0,1.0
glm-5,Trust-weighted,0.6000000000000001,1.0,14,1.0,1.0
glm-5,Trust-weighted,0.7,1.0,9,1.0,1.0
glm-5,Trust-weighted,0.8,1.0,5,1.0,1.0
gpt-5-mini,Carryover,-0.4,0.0,9,0.0,0.0
gpt-5-mini,Carryover,-0.3,0.2222222222222222,9,0.0,0.4472222222222197
gpt-5-mini,Carryover,-0.2,0.09027777777777778,12,0.0,0.19444444444444442
gpt-5-mini,Carryover,-0.1,0.46176046176046176,21,0.27269119769119765,0.642893217893218
gpt-5-mini,Carryover,0.0,0.5231884057971015,23,0.37094202898550727,0.6667028985507247
gpt-5-mini,Carryover,0.1,0.7941176470588235,17,0.6176470588235294,0.9411764705882353
gpt-5-mini,Carryover,0.2,0.9285714285714286,21,0.8095238095238095,1.0
gpt-5-mini,Carryover,0.3,0.9888888888888889,30,0.9666666666666667,1.0
gpt-5-mini,Carryover,0.4,1.0,15,1.0,1.0
gpt-5-mini,Carryover,0.5,1.0,21,1.0,1.0
gpt-5-mini,Carryover,0.6000000000000001,1.0,8,1.0,1.0
gpt-5-mini,Carryover,0.7,1.0,8,1.0,1.0
gpt-5-mini,Carryover,0.8,1.0,4,1.0,1.0
gpt-5-mini,Naive aggregate,-0.7005,0.0,6,0.0,0.0
gpt-5-mini,Naive aggregate,-0.6000000000000001,0.3333333333333333,6,0.0,0.6666666666666666
gpt-5-mini,Naive aggregate,-0.4,0.3425925925925926,9,0.11064814814814816,0.5930555555555551
gpt-5-mini,Naive aggregate,-0.3,0.09259259259259259,9,0.0,0.2222222222222222
