num_agents,stag_success_threshold,liar_share,original_is_stag,n_models,n_cells,original_is_stag_low,original_is_stag_high
2,1,0.0,0.9841269841269842,7,21,0.9365079365079365,1.0
2,1,0.5,0.9285714285714286,7,14,0.7142857142857143,1.0
2,2,0.0,0.9523809523809523,7,21,0.8095238095238094,1.0
2,2,0.5,0.9444444444444443,6,17,0.7777777777777777,1.0
3,1,0.3333333333333333,1.0,7,13,1.0,1.0
3,1,0.6666666666666666,1.0,1,1,1.0,1.0
3,2,0.3333333333333333,1.0,7,9,1.0,1.0
3,2,0.6666666666666666,0.9444444444444445,6,6,0.8333333333333334,1.0
3,3,0.3333333333333333,0.880952380952381,7,14,0.6898809523809524,1.0
3,3,0.6666666666666666,1.0,1,2,1.0,1.0
5,1,0.2,1.0,7,14,1.0,1.0
5,1,0.4,1.0,6,6,1.0,1.0
5,1,0.6,1.0,6,11,1.0,1.0
5,1,0.8,1.0,1,1,1.0,1.0
5,2,0.2,1.0,7,15,1.0,1.0
5,2,0.4,1.0,7,13,1.0,1.0
5,2,0.6,1.0,7,8,1.0,1.0
5,3,0.2,0.9126984126984128,7,15,0.7142857142857143,1.0
5,3,0.4,1.0,2,5,1.0,1.0
5,3,0.6,0.7777777777777778,6,6,0.4444444444444444,1.0
5,3,0.8,1.0,2,2,1.0,1.0
5,4,0.2,0.7857142857142857,7,10,0.42857142857142855,1.0
5,4,0.4,0.9285714285714286,7,15,0.7142857142857143,1.0
5,4,0.6,1.0,5,10,1.0,1.0
5,4,0.8,1.0,6,6,1.0,1.0
