model_short,liar_share,turn_index,original_is_stag,n_cells,original_is_stag_low,original_is_stag_high
deepseek-v3.2-think,0.2,0,1.0,2,1.0,1.0
deepseek-v3.2-think,0.2,1,1.0,2,1.0,1.0
deepseek-v3.2-think,0.2,2,1.0,3,1.0,1.0
deepseek-v3.2-think,0.2,3,1.0,3,1.0,1.0
deepseek-v3.2-think,0.2,4,1.0,2,1.0,1.0
deepseek-v3.2-think,0.4,1,1.0,1,1.0,1.0
deepseek-v3.2-think,0.4,2,0.75,3,0.25,1.0
deepseek-v3.2-think,0.4,3,0.75,3,0.25,1.0
deepseek-v3.2-think,0.4,4,0.625,2,0.25,1.0
deepseek-v3.2-think,0.6,0,1.0,1,1.0,1.0
deepseek-v3.2-think,0.6,1,0.875,2,0.75,1.0
deepseek-v3.2-think,0.6,3,1.0,1,1.0,1.0
deepseek-v3.2-think,0.6,4,0.25,2,0.0,0.5
deepseek-v3.2-think,0.8,2,0.4166666666666667,1,0.4166666666666667,0.4166666666666667
deepseek-v3.2-think,0.8,3,0.5,1,0.5,0.5
deepseek-v3.2-think,0.8,4,0.0,1,0.0,0.0
ernie-5.0-thinking-preview,0.2,0,0.75,2,0.5,1.0
ernie-5.0-thinking-preview,0.2,1,1.0,2,1.0,1.0
ernie-5.0-thinking-preview,0.2,2,0.9166666666666666,3,0.75,1.0
ernie-5.0-thinking-preview,0.2,3,0.9166666666666666,3,0.75,1.0
ernie-5.0-thinking-preview,0.2,4,0.875,2,0.75,1.0
ernie-5.0-thinking-preview,0.4,1,1.0,1,1.0,1.0
ernie-5.0-thinking-preview,0.4,2,1.0,3,1.0,1.0
ernie-5.0-thinking-preview,0.4,3,1.0,3,1.0,1.0
ernie-5.0-thinking-preview,0.4,4,1.0,2,1.0,1.0
ernie-5.0-thinking-preview,0.6,0,1.0,1,1.0,1.0
ernie-5.0-thinking-preview,0.6,1,0.75,2,0.5,1.0
ernie-5.0-thinking-preview,0.6,3,1.0,1,1.0,1.0
ernie-5.0-thinking-preview,0.6,4,0.25,2,0.0,0.5
ernie-5.0-thinking-preview,0.8,2,0.75,1,0.75,0.75
ernie-5.0-thinking-preview,0.8,3,0.5,1,0.5,0.5
ernie-5.0-thinking-preview,0.8,4,0.0,1,0.0,0.0
glm-5,0.2,0,1.0,2,1.0,1.0
glm-5,0.2,1,1.0,2,1.0,1.0
glm-5,0.2,2,1.0,3,1.0,1.0
glm-5,0.2,3,1.0,3,1.0,1.0
glm-5,0.2,4,1.0,2,1.0,1.0
glm-5,0.4,1,1.0,1,1.0,1.0
glm-5,0.4,2,0.8333333333333334,3,0.5,1.0
glm-5,0.4,3,0.8333333333333334,3,0.5,1.0
glm-5,0.4,4,0.75,2,0.5,1.0
glm-5,0.6,0,1.0,1,1.0,1.0
glm-5,0.6,1,0.5,2,0.5,0.5
glm-5,0.6,3,1.0,1,1.0,1.0
glm-5,0.6,4,0.125,2,0.0,0.25
glm-5,0.8,2,0.4166666666666667,1,0.4166666666666667,0.4166666666666667
glm-5,0.8,3,1.0,1,1.0,1.0
glm-5,0.8,4,0.0,1,0.0,0.0
gpt-5-mini,0.2,0,1.0,2,1.0,1.0
gpt-5-mini,0.2,1,1.0,2,1.0,1.0
gpt-5-mini,0.2,2,1.0,3,1.0,1.0
gpt-5-mini,0.2,3,1.0,3,1.0,1.0
gpt-5-mini,0.2,4,1.0,2,1.0,1.0
gpt-5-mini,0.4,1,1.0,1,1.0,1.0
gpt-5-mini,0.4,2,0.6666666666666666,3,0.5,1.0
gpt-5-mini,0.4,3,0.6944444444444445,3,0.5,1.0
gpt-5-mini,0.4,4,0.5416666666666667,2,0.5,0.5833333333333334
gpt-5-mini,0.6,0,1.0,1,1.0,1.0
gpt-5-mini,0.6,1,0.5,2,0.5,0.5
gpt-5-mini,0.6,3,0.5,1,0.5,0.5
gpt-5-mini,0.6,4,0.75,2,0.5,1.0
gpt-5-mini,0.8,2,0.5,1,0.5,0.5
gpt-5-mini,0.8,3,0.5,1,0.5,0.5
gpt-5-mini,0.8,4,1.0,1,1.0,1.0
gpt-5.2-2025-12-11,0.2,0,1.0,2,1.0,1.0
gpt-5.2-2025-12-11,0.2,1,1.0,3,1.0,1.0
gpt-5.2-2025-12-11,0.2,2,1.0,2,1.0,1.0
gpt-5.2-2025-12-11,0.2,3,1.0,3,1.0,1.0
gpt-5.2-2025-12-11,0.2,4,1.0,2,1.0,1.0
gpt-5.2-2025-12-11,0.4,0,1.0,2,1.0,1.0
gpt-5.2-2025-12-11,0.4,1,1.0,2,1.0,1.0
gpt-5.2-2025-12-11,0.4,2,1.0,1,1.0,1.0
gpt-5.2-2025-12-11,0.4,3,1.0,2,1.0,1.0
gpt-5.2-2025-12-11,0.4,4,1.0,2,1.0,1.0
gpt-5.2-2025-12-11,0.6,1,1.0,1,1.0,1.0
gpt-5.2-2025-12-11,0.6,2,0.5,2,0.0,1.0
gpt-5.2-2025-12-11,0.6,3,0.0,1,0.0,0.0
gpt-5.2-2025-12-11,0.6,4,0.5,2,0.5,0.5
gpt-5.2-2025-12-11,0.8,0,1.0,1,1.0,1.0
gpt-5.2-2025-12-11,0.8,3,0.5833333333333334,1,0.5833333333333334,0.5833333333333334
gpt-5.2-2025-12-11,0.8,4,0.0,1,0.0,0.0
kimi-k2.5,0.2,0,1.0,2,1.0,1.0
kimi-k2.5,0.2,1,1.0,2,1.0,1.0
kimi-k2.5,0.2,2,1.0,3,1.0,1.0
kimi-k2.5,0.2,3,1.0,3,1.0,1.0
kimi-k2.5,0.2,4,1.0,2,1.0,1.0
kimi-k2.5,0.4,1,1.0,1,1.0,1.0
kimi-k2.5,0.4,2,0.8333333333333334,3,0.5,1.0
kimi-k2.5,0.4,3,0.8333333333333334,3,0.5,1.0
kimi-k2.5,0.4,4,0.75,2,0.5,1.0
kimi-k2.5,0.6,0,0.0,1,0.0,0.0
kimi-k2.5,0.6,1,0.75,2,0.5,1.0
kimi-k2.5,0.6,3,1.0,1,1.0,1.0
kimi-k2.5,0.6,4,1.0,2,1.0,1.0
kimi-k2.5,0.8,2,0.5833333333333334,1,0.5833333333333334,0.5833333333333334
kimi-k2.5,0.8,3,0.5,1,0.5,0.5
kimi-k2.5,0.8,4,0.3333333333333333,1,0.3333333333333333,0.3333333333333333
llama-3.1-8b,0.2,0,0.8888888888888888,3,0.6666666666666666,1.0
llama-3.1-8b,0.2,1,0.7222222222222222,3,0.5541666666666667,0.891666666666664
llama-3.1-8b,0.2,2,1.0,1,1.0,1.0
llama-3.1-8b,0.2,3,0.8888888888888888,3,0.6666666666666666,1.0
llama-3.1-8b,0.2,4,0.8333333333333333,2,0.6666666666666666,1.0
llama-3.1-8b,0.4,0,1.0,3,1.0,1.0
llama-3.1-8b,0.4,1,0.25,2,0.0,0.5
llama-3.1-8b,0.4,3,0.75,2,0.5,1.0
llama-3.1-8b,0.4,4,0.875,2,0.75,1.0
llama-3.1-8b,0.6,0,0.6666666666666666,1,0.6666666666666666,0.6666666666666666
llama-3.1-8b,0.6,1,0.5416666666666666,2,0.4166666666666667,0.6666666666666666
llama-3.1-8b,0.6,2,1.0,1,1.0,1.0
llama-3.1-8b,0.6,3,0.6666666666666666,2,0.3333333333333333,1.0
llama-3.1-8b,0.8,0,0.5,1,0.5,0.5
llama-3.1-8b,0.8,2,0.75,1,0.75,0.75
llama-3.1-8b,0.8,4,1.0,1,1.0,1.0
